fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,1,0,3,0,2,0,100,1,0,0,4,1,6,0,0,4,1,0,3,0,0,0,-1,0
0,2,0,3,1,3,0,100,1,0,0,5,3,1,556108.1431,0,2,0,1,3,0,0,0,-1,0
0,2,0,2,0,4,0,100,2,0,0,1,1,1,0,15898770,1,1,0,1,0,0,0,-1,0
0,2,0,2,0,2,0,100,1,0,0,1,3,3,499144.0735,400000,1,1,0,2,0,0,0,-1,0
0,2,0,1,0,3,0,100,3,0,0,1,3,2,73878.82515,0,1,0,0,1,1,1,1,1,0
0,1,0,2,0,3,0,100,1,1,0,5,2,6,277465.2586,700000,1,0,0,1,0,0,0,-1,1
0,5,0,2,0,3,0,100,3,0,0,3,1,1,2834730.928,3832720,3,1,0,1,1,1,1,0,0
0,2,0,1,0,2,0,100,1,0,0,4,3,4,0,0,1,0,0,1,0,0,0,-1,0
0,2,0,1,0,3,0,100,3,0,0,4,1,4,427950.1162,0,1,0,0,3,1,1,1,0,0
0,1,0,3,0,2,0,100,1,0,1,5,1,5,479286.7412,510000,1,1,0,2,1,1,1,1,0
0,1,1,2,0,1,0,100,2,0,0,4,3,6,217896.127,0,0,1,0,2,0,0,0,-1,0
1,2,0,2,0,2,0,100,1,0,1,4,3,6,183486.5085,1110260,0,1,0,1,1,1,1,2,0
0,2,0,2,1,2,0,100,1,0,1,4,3,6,0,548000,1,0,1,2,1,1,1,1,0
0,2,0,1,0,2,0,0,3,0,0,4,1,4,0,0,1,0,1,1,0,0,0,-1,0
0,1,0,2,0,1,0,90,1,0,0,5,1,5,252817.8172,475800,0,0,0,1,1,2,1,0,0
0,1,0,3,0,3,0,20,2,0,0,2,1,2,47047.17558,848400,1,0,0,1,1,1,1,1,0
0,1,0,2,0,1,0,100,1,0,0,5,1,6,674709.4627,0,1,0,0,1,0,0,0,-1,0
0,1,0,2,0,3,0,100,2,0,0,4,1,5,626873.4322,0,4,0,0,1,0,0,0,-1,0
0,2,0,1,0,2,0,100,1,0,0,1,1,1,310354.5648,0,4,0,0,2,0,0,0,-1,0
0,2,0,1,1,4,0,100,1,1,1,5,2,1,1944432.063,0,2,1,0,1,0,0,0,-1,0
0,1,1,5,0,4,0,100,2,1,0,4,3,2,0,0,2,0,0,2,0,0,0,-1,0
0,1,1,3,0,2,0,0,2,0,0,6,3,1,0,0,3,1,0,1,1,1,1,1,0
0,1,1,2,0,2,0,100,1,1,0,5,3,6,0,1704000,1,1,0,1,0,0,0,-1,0
0,1,0,2,0,1,0,100,2,0,0,6,2,1,0,0,1,1,0,1,0,0,0,-1,0
0,1,0,5,0,3,0,100,3,1,0,5,3,6,0,0,5,0,0,0,0,0,0,-1,0
0,1,0,2,0,1,0,100,2,0,0,5,2,6,286274.5453,601730,0,0,1,2,1,1,1,1,0
0,1,0,1,0,3,0,100,1,0,0,1,1,1,606618.8298,1435970,1,1,0,2,1,1,1,2,0
1,2,0,3,0,4,0,100,2,0,0,4,1,4,0,0,0,1,0,1,0,0,0,-1,0
0,1,1,3,0,1,0,100,2,0,0,5,2,2,0,0,2,0,0,1,1,2,1,2,0
0,2,0,4,0,4,0,0,1,0,0,5,2,6,200698.036,0,3,0,1,1,1,1,1,0,0
0,1,0,3,0,2,0,100,2,0,0,2,5,2,201193.0037,0,0,0,1,1,0,0,0,-1,0
0,2,0,3,1,3,0,100,2,0,0,5,1,6,0,0,2,1,0,2,0,0,0,-1,0
0,1,0,1,0,3,0,100,2,0,0,2,3,2,187937.006,849600,1,1,0,1,0,0,0,-1,0
0,2,0,1,1,4,0,100,2,0,0,2,5,2,259473.8312,0,0,0,0,1,0,0,0,-1,0
